"","country","Category","gdp_ppp_pc_usd2011","population","gdp_quintile","tot_pop","tot_gdp","cum_pop","GCAM_region_ID","sce","year","d1_cutoff","d2_cutoff","d3_cutoff","d4_cutoff","d5_cutoff","d6_cutoff","d7_cutoff","d8_cutoff","d9_cutoff","category","max_cum_pop","shortfall"
"1","AR",NA,NA,30.31,NA,4000.75,NA,799.84,1,"SSP2",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d2",799.84,0.309999999999945
"2","AR",NA,NA,30.31,NA,4000.75,NA,799.84,1,"SSP3",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d2",799.84,0.309999999999945
"3","AR",NA,NA,30.31,NA,4000.75,NA,799.84,1,"SSP5",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d2",799.84,0.309999999999945
"4","ID",NA,NA,18.27,NA,4000.75,NA,1184.67,1,"SSP2",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d3",1184.67,15.55
"5","ID",NA,NA,18.27,NA,4000.75,NA,1184.67,1,"SSP3",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d3",1184.67,15.55
"6","ID",NA,NA,18.27,NA,4000.75,NA,1184.67,1,"SSP5",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d3",1184.67,15.55
"7","ME",NA,NA,13.5,NA,4000.75,NA,1596.69,1,"SSP2",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d4",1596.69,3.6099999999999
"8","ME",NA,NA,13.5,NA,4000.75,NA,1596.69,1,"SSP3",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d4",1596.69,3.6099999999999
"9","ME",NA,NA,13.5,NA,4000.75,NA,1596.69,1,"SSP5",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d4",1596.69,3.6099999999999
"10","NH",NA,NA,13.66,NA,4000.75,NA,1940.11,1,"SSP2",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d5",1940.11,60.2700000000002
"11","NH",NA,NA,13.66,NA,4000.75,NA,1940.11,1,"SSP3",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d5",1940.11,60.2700000000002
"12","NH",NA,NA,13.66,NA,4000.75,NA,1940.11,1,"SSP5",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d5",1940.11,60.2700000000002
"13","SD",NA,NA,8.93,NA,4000.75,NA,2352.21,1,"SSP2",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d6",2352.21,48.2399999999998
"14","SD",NA,NA,8.93,NA,4000.75,NA,2352.21,1,"SSP3",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d6",2352.21,48.2399999999998
"15","SD",NA,NA,8.93,NA,4000.75,NA,2352.21,1,"SSP5",2020,400.08,800.15,1200.22,1600.3,2000.38,2400.45,2800.52,3200.6,3600.68,"d6",2352.21,48.2399999999998
"16","AL",NA,NA,49.37,NA,4018,NA,774.65,1,"SSP2",2021,401.8,803.6,1205.4,1607.2,2009,2410.8,2812.6,3214.4,3616.2,"d2",774.65,28.95
"17","AL",NA,NA,49.35,NA,4016.67,NA,774.62,1,"SSP3",2021,401.67,803.33,1205,1606.67,2008.34,2410,2811.67,3213.34,3615,"d2",774.62,28.71
"18","AL",NA,NA,49.4,NA,4019.15,NA,774.68,1,"SSP5",2021,401.92,803.83,1205.74,1607.66,2009.58,2411.49,2813.4,3215.32,3617.24,"d2",774.68,29.1500000000001
"19","HI",NA,NA,14,NA,4018,NA,1187.8,1,"SSP2",2021,401.8,803.6,1205.4,1607.2,2009,2410.8,2812.6,3214.4,3616.2,"d3",1187.8,17.6000000000001
"20","HI",NA,NA,13.99,NA,4016.67,NA,1187.59,1,"SSP3",2021,401.67,803.33,1205,1606.67,2008.34,2410,2811.67,3213.34,3615,"d3",1187.59,17.4100000000001
"21","HI",NA,NA,14,NA,4019.15,NA,1188.02,1,"SSP5",2021,401.92,803.83,1205.74,1607.66,2009.58,2411.49,2813.4,3215.32,3617.24,"d3",1188.02,17.72
"22","MA",NA,NA,68.95,NA,4018,NA,1575.6,1,"SSP2",2021,401.8,803.6,1205.4,1607.2,2009,2410.8,2812.6,3214.4,3616.2,"d4",1575.6,31.6000000000001
"23","MA",NA,NA,68.93,NA,4016.67,NA,1575.24,1,"SSP3",2021,401.67,803.33,1205,1606.67,2008.34,2410,2811.67,3213.34,3615,"d4",1575.24,31.4300000000001
"24","MA",NA,NA,68.97,NA,4019.15,NA,1575.93,1,"SSP5",2021,401.92,803.83,1205.74,1607.66,2009.58,2411.49,2813.4,3215.32,3617.24,"d4",1575.93,31.73
"25","NH",NA,NA,13.71,NA,4018,NA,1994.34,1,"SSP2",2021,401.8,803.6,1205.4,1607.2,2009,2410.8,2812.6,3214.4,3616.2,"d5",1994.34,14.6600000000001
"26","NH",NA,NA,13.71,NA,4016.67,NA,1993.79,1,"SSP3",2021,401.67,803.33,1205,1606.67,2008.34,2410,2811.67,3213.34,3615,"d5",1993.79,14.55
"27","NH",NA,NA,13.71,NA,4019.15,NA,1994.8,1,"SSP5",2021,401.92,803.83,1205.74,1607.66,2009.58,2411.49,2813.4,3215.32,3617.24,"d5",1994.8,14.78
